u,v,key,length,highway,name
149623944,12101590989,0,12.272296933892102,residential,East Lachappelle
149623944,12180045918,0,85.669657659069,secondary,Probandt Street
149623944,8531068490,0,25.398637919284475,secondary,Probandt Street
149628817,5908835057,0,11.384845537492065,primary,West César E. Chávez Boulevard
149628817,1175108965,0,9.236825034355691,secondary,South Flores Street
149628817,5908835055,0,6.920516509734605,secondary,South Flores Street
149628826,1175108906,0,11.245798840574354,primary,South Santa Rosa Street
149628826,149628844,0,134.77939657352732,primary,West César E. Chávez Boulevard
149628844,1141165529,0,9.235914053103814,primary,West César E. Chávez Boulevard
149628844,10792126203,0,52.800237798362645,residential,Urban Loop
149630712,149556719,0,85.63170924107467,residential,Barbe Street
149630712,1436939024,0,184.8458170643168,residential,East Guenther Street
149630712,149622245,0,150.5156796677685,residential,East Guenther Street
149630714,149630717,0,92.40775830068556,residential,Barbe Street
149630714,149556719,0,56.80146072462603,residential,Barbe Street
149630714,1436939331,0,185.33451405485852,residential,Adams Street
149630714,149853408,0,297.42335462854874,residential,Adams Street
149630717,149630719,0,92.10657294129099,residential,Barbe Street
149630717,149630714,0,92.40775830068556,residential,Barbe Street
149630717,149861629,0,185.88637976415035,residential,Mission Street
149630717,149853411,0,300.41057153603015,residential,Mission Street
149630719,10657003274,0,113.04776097453794,residential,Barbe Street
149630719,149630717,0,92.10657294129099,residential,Barbe Street
149630719,149861631,0,184.47247547963386,residential,Cedar Street
149630719,149591576,0,91.1362870085802,residential,Cedar Street
149630721,149925054,0,108.83931963756193,secondary,South Saint Mary's Street
149630721,10657003275,0,14.194284133716495,secondary,South Saint Mary's Street
149630721,10657003274,0,26.083675070484425,residential,Barbe Street
149630727,6451324164,0,83.4295286744947,service,Blue Star
149630727,149630728,0,22.511921181229965,service,Unnamed
149630727,6451324379,0,189.90850341144534,service,Blue Star
149630728,149630727,0,22.511921181229965,service,Unnamed
149634179,1140970068,0,32.031687569683115,residential,Columbus Street
149634179,4112149352,0,18.350884208865864,footway,Unnamed
149634179,149634191,0,25.122405725146578,residential,Columbus Street
149634191,2551980668,0,51.25434770981255,residential,Columbus Street
149634191,149634179,0,25.122405725146578,residential,Columbus Street
149634191,4112149331,0,98.11264808211016,service,Unnamed
149641758,149641764,0,30.252276488589356,service,Unnamed
149641758,6451516777,0,66.94111913606653,service,Unnamed
149641758,6451516737,0,98.5765500432257,service,Unnamed
149641764,6451516769,0,67.32716890968487,service,Unnamed
149641764,149641758,0,30.252276488589356,service,Unnamed
149641764,3981887252,0,111.55404777180661,service,Unnamed
149641779,3981887253,0,23.747717528444362,service,Unnamed
149641779,6451516769,0,22.215849264998297,service,Unnamed
149645099,11117292431,0,92.6491626838096,pedestrian,King Philip
149645099,11117292428,0,95.07934095007582,pedestrian,Villita Street
149645099,8810248042,0,35.17448696616353,"['footway', 'pedestrian']",King Philip
149645099,1360124604,0,79.61659069979004,pedestrian,Villita Street
149645101,11117292431,0,5.861163819822116,pedestrian,King Philip
149645101,11117749651,0,71.14657681044855,tertiary,East Nueva Street
149649295,1675466278,0,42.54066168311867,residential,Madison Street
