u,v,key,osmid,highway,name,oneway,reversed,length,geometry,lanes,maxspeed,ref,bridge,width,access,service,tunnel,junction
1436939016,1436939264,0,"[130457242, 226280670, 226280671]",cycleway,River Walk,False,False,265.4359485072425,"LINESTRING (-98.4903799 29.3975659, -98.4903343 29.3975724, -98.4902366 29.3975845, -98.4901532 29.3975919, -98.4901403 29.3976082, -98.4901227 29.397629, -98.4901227 29.3976758, -98.4901656 29.3979702, -98.4902247 29.3983721, -98.49023 29.398475, -98.490222 29.3985591, -98.4901844 29.3986946, -98.4901415 29.3987811, -98.4900637 29.3988559, -98.4899859 29.3989306, -98.4898572 29.3990264, -98.4897901 29.3990521, -98.4897311 29.3990732, -98.4896265 29.3990732, -98.4894307 29.3990825, -98.4893154 29.3990942, -98.4891598 29.3991316)",,,,low_water_crossing,10',,,,
1436939016,1436939234,0,225114950,cycleway,River Walk,False,True,608.0962371485062,"LINESTRING (-98.4903799 29.3975659, -98.4903883 29.3976092, -98.4904017 29.3976629, -98.4904339 29.3977891, -98.4904634 29.3978545, -98.4905036 29.397948, -98.4905626 29.3980929, -98.4906109 29.3982495, -98.4906297 29.3984341, -98.4906189 29.3985766, -98.4905841 29.3987799, -98.4905411 29.3989038, -98.4904392 29.3991047, -98.4903105 29.3993291, -98.4902407 29.3994739, -98.4901522 29.3995744, -98.4900879 29.3996352, -98.4899859 29.3997053, -98.4898706 29.3997964, -98.489774 29.3999062, -98.4896963 29.4000441, -98.4896238 29.4002334, -98.4895863 29.400404, -98.4895595 29.4005956, -98.4895595 29.4007779, -98.48953 29.4009368, -98.4894817 29.40107, -98.4893878 29.4012102, -98.4893154 29.4012966, -98.4892725 29.4013621, -98.4892081 29.4014392, -98.4890686 29.4015163, -98.4889908 29.4016027, -98.4888862 29.4016705, -98.4888245 29.4017383, -98.4887092 29.4018481, -98.4885697 29.4019252, -98.4884302 29.4020047, -98.4883391 29.402028, -98.4882693 29.4020794, -98.4882103 29.4021308, -98.488148 29.402212)",,,,,,,,,
1436939024,149630712,0,121514379,residential,East Guenther Street,False,True,184.8458170643168,"LINESTRING (-98.4902162 29.4050224, -98.491267 29.40641)",,,,,,,,,
1436939024,2520545179,0,130457357,tertiary,Eagleland Drive,False,False,12.591363260580971,"LINESTRING (-98.4902162 29.4050224, -98.4901047 29.4050806)",,,,,,,,,
1436939024,2520545177,0,244782202,footway,,False,False,2.5085071217104216,"LINESTRING (-98.4902162 29.4050224, -98.4902214 29.4050003)",,,,,,,,,
1436939065,6649650077,0,15135704,residential,Lotus Avenue,False,False,121.71654913044868,"LINESTRING (-98.4859511 29.4048342, -98.4847447 29.4051402)",,,,,,,,,
1436939065,6114615105,0,15135939,secondary,South Saint Mary's Street,False,True,93.63431839786647,"LINESTRING (-98.4859511 29.4048342, -98.486226 29.4056415)",4,,,,,,,,
1436939065,3576188237,0,15135939,secondary,South Saint Mary's Street,False,False,98.44567301341289,"LINESTRING (-98.4859511 29.4048342, -98.485848 29.4045064, -98.4858054 29.404333, -98.485785 29.404104, -98.485789 29.4039656)",4,,,,,,,,
1436939066,8434789890,0,682600877,secondary,Steves Avenue,False,True,364.4125153823676,"LINESTRING (-98.4914888 29.3962328, -98.491688 29.3965, -98.49192 29.396777, -98.492234 29.397103, -98.492685 29.397538, -98.493163 29.397948, -98.493546 29.398238, -98.49383 29.39844, -98.493996 29.39855, -98.494068 29.3985935)",,,Spur 536,,,,,,
1436939147,149829195,0,112038299,residential,Lone Star Boulevard,False,False,9.234792118134058,"LINESTRING (-98.4876626 29.4016487, -98.4876082 29.4015805)",,,,,,,,,
1436939147,1436939234,0,"[112038299, 112038308, 100083611]",residential,Lone Star Boulevard,False,True,78.41063909388915,"LINESTRING (-98.4876626 29.4016487, -98.4876762 29.401665, -98.4877062 29.4017011, -98.4879992 29.4020442, -98.488057 29.402124, -98.488148 29.402212)",2,,,yes,,,,,
1436939147,2339354111,0,"[351809351, 351809369, 79582106, 351809373, 226280670]",cycleway,River Walk,False,"[False, True]",593.3824852260516,"LINESTRING (-98.4876626 29.4016487, -98.48758 29.4016834, -98.4873896 29.4017535, -98.4872876 29.4017792, -98.4871723 29.4018119, -98.4871213 29.4018259, -98.4870516 29.401868, -98.4870006 29.4019124, -98.4868934 29.402125, -98.4867941 29.4023493, -98.4867485 29.4024568, -98.4867002 29.4026624, -98.486677 29.402806, -98.4866948 29.4029095, -98.4867483 29.4030001, -98.486793 29.4030562, -98.4868145 29.4030798, -98.4868922 29.4031344, -98.4870483 29.403214, -98.4872149 29.4032689, -98.4872946 29.4032828, -98.4875107 29.403327, -98.4879418 29.4033969, -98.4883183 29.4034939, -98.4887698 29.4036303, -98.4889251 29.4037093, -98.4891128 29.4038023, -98.489325 29.4039526, -98.4894822 29.4040799, -98.4896179 29.4042288, -98.4897944 29.4044488, -98.4899381 29.4045314, -98.490092 29.4046554, -98.4901724 29.404699)",,,,yes,10',,,,
1436939147,1436939264,0,226280670,cycleway,River Walk,False,True,367.74203903250077,"LINESTRING (-98.4876626 29.4016487, -98.4877999 29.4015759, -98.4878858 29.4015548, -98.4879528 29.4015198, -98.4880682 29.4014964, -98.4882103 29.4014614, -98.4883659 29.4014053, -98.4885268 29.4013235, -98.4886261 29.4012557, -98.4887655 29.4011038, -98.4888433 29.4009893, -98.4889131 29.4008515, -98.4889667 29.4006902, -98.4889828 29.4005594, -98.4889801 29.4003841, -98.4889426 29.4001855, -98.4888996 29.400085, -98.488846 29.3999915, -98.4887897 29.399863, -98.4887655 29.3997602, -98.4887655 29.3996667, -98.488787 29.3995522, -98.4888138 29.3994728, -98.4888621 29.3993746, -98.4889104 29.3993045, -98.4889667 29.3992438, -98.4890096 29.3992087, -98.4891598 29.3991316)",,,,,10',,,,
1436939234,1436939147,0,"[112038299, 100083611, 112038308]",residential,Lone Star Boulevard,False,False,78.41063909388913,"LINESTRING (-98.488148 29.402212, -98.488057 29.402124, -98.4879992 29.4020442, -98.4877062 29.4017011, -98.4876762 29.401665, -98.4876626 29.4016487)",2,,,yes,,,,,
1436939234,6905084053,0,100083611,residential,Lone Star Boulevard,False,True,24.422889500870355,"LINESTRING (-98.488148 29.402212, -98.488191 29.402243, -98.488259 29.402282, -98.488365 29.4023206)",2,,,,,,,,
1436939234,1436939016,0,225114950,cycleway,River Walk,False,False,608.0962371485064,"LINESTRING (-98.488148 29.402212, -98.4882103 29.4021308, -98.4882693 29.4020794, -98.4883391 29.402028, -98.4884302 29.4020047, -98.4885697 29.4019252, -98.4887092 29.4018481, -98.4888245 29.4017383, -98.4888862 29.4016705, -98.4889908 29.4016027, -98.4890686 29.4015163, -98.4892081 29.4014392, -98.4892725 29.4013621, -98.4893154 29.4012966, -98.4893878 29.4012102, -98.4894817 29.40107, -98.48953 29.4009368, -98.4895595 29.4007779, -98.4895595 29.4005956, -98.4895863 29.400404, -98.4896238 29.4002334, -98.4896963 29.4000441, -98.489774 29.3999062, -98.4898706 29.3997964, -98.4899859 29.3997053, -98.4900879 29.3996352, -98.4901522 29.3995744, -98.4902407 29.3994739, -98.4903105 29.3993291, -98.4904392 29.3991047, -98.4905411 29.3989038, -98.4905841 29.3987799, -98.4906189 29.3985766, -98.4906297 29.3984341, -98.4906109 29.3982495, -98.4905626 29.3980929, -98.4905036 29.397948, -98.4904634 29.3978545, -98.4904339 29.3977891, -98.4904017 29.3976629, -98.4903883 29.3976092, -98.4903799 29.3975659)",,,,,,,,,
1436939264,7663016114,0,"[130457348, 351809341]",cycleway,,False,"[False, True]",129.65535162293966,"LINESTRING (-98.4891598 29.3991316, -98.4890954 29.3990381, -98.4890525 29.3989914, -98.4889855 29.39894, -98.4888514 29.3988816, -98.4887789 29.3988559, -98.4886556 29.3988372, -98.488435 29.398809, -98.4884476 29.3987146, -98.4884782 29.3986299, -98.4885491 29.3985378, -98.4886325 29.3984391)",,,,,10',,,,
1436939264,1436939147,0,226280670,cycleway,River Walk,False,False,367.7420390325007,"LINESTRING (-98.4891598 29.3991316, -98.4890096 29.3992087, -98.4889667 29.3992438, -98.4889104 29.3993045, -98.4888621 29.3993746, -98.4888138 29.3994728, -98.488787 29.3995522, -98.4887655 29.3996667, -98.4887655 29.3997602, -98.4887897 29.399863, -98.488846 29.3999915, -98.4888996 29.400085, -98.4889426 29.4001855, -98.4889801 29.4003841, -98.4889828 29.4005594, -98.4889667 29.4006902, -98.4889131 29.4008515, -98.4888433 29.4009893, -98.4887655 29.4011038, -98.4886261 29.4012557, -98.4885268 29.4013235, -98.4883659 29.4014053, -98.4882103 29.4014614, -98.4880682 29.4014964, -98.4879528 29.4015198, -98.4878858 29.4015548, -98.4877999 29.4015759, -98.4876626 29.4016487)",,,,,10',,,,
1436939264,1436939016,0,"[130457242, 226280670, 226280671]",cycleway,River Walk,False,True,265.4359485072424,"LINESTRING (-98.4891598 29.3991316, -98.4893154 29.3990942, -98.4894307 29.3990825, -98.4896265 29.3990732, -98.4897311 29.3990732, -98.4897901 29.3990521, -98.4898572 29.3990264, -98.4899859 29.3989306, -98.4900637 29.3988559, -98.4901415 29.3987811, -98.4901844 29.3986946, -98.490222 29.3985591, -98.49023 29.398475, -98.4902247 29.3983721, -98.4901656 29.3979702, -98.4901227 29.3976758, -98.4901227 29.397629, -98.4901403 29.3976082, -98.4901532 29.3975919, -98.4902366 29.3975845, -98.4903343 29.3975724, -98.4903799 29.3975659)",,,,low_water_crossing,10',,,,
1436939331,149630714,0,15160317,residential,Adams Street,False,True,185.33451405485852,"LINESTRING (-98.4890064 29.4056575, -98.490011 29.407076)",,,,,,,,,
1436939331,149861629,0,130457357,tertiary,Eagleland Drive,False,False,93.81511064856994,"LINESTRING (-98.4890064 29.4056575, -98.488189 29.40611)",,,,,,,,,
1436939331,149556720,0,130457357,tertiary,Eagleland Drive,False,True,54.03503986730076,"LINESTRING (-98.4890064 29.4056575, -98.489483 29.405405)",,,,,,,,,
1436939331,6687234381,0,711250811,service,,True,False,19.303650074043272,"LINESTRING (-98.4890064 29.4056575, -98.4888977 29.405512)",,,,,,,,,
1436939453,150071264,0,15135939,secondary,South Saint Mary's Street,False,False,60.16071611121748,"LINESTRING (-98.4866527 29.4069552, -98.486482 29.406435)",4,,,,,,,,
1436939453,7793528118,0,15135939,secondary,South Saint Mary's Street,False,True,56.98242185968682,"LINESTRING (-98.4866527 29.4069552, -98.4868062 29.4074499)",4,,,,,,,,
1436939453,149678059,0,15158073,tertiary,West Carolina Street,False,False,57.91768672568082,"LINESTRING (-98.4866527 29.4069552, -98.4860789 29.4071016)",,,,,,,,,
1436939453,6114615111,0,130457357,tertiary,Eagleland Drive,False,True,69.98208725664912,"LINESTRING (-98.4866527 29.4069552, -98.4868036 29.4068756, -98.4872636 29.4066193)",,,,,,,,,
1436939478,1360124455,0,149881025,primary,South Santa Rosa Street,True,False,11.265043178523278,"LINESTRING (-98.4988463 29.4209673, -98.4987929 29.4210573)",2,,,,,,,,
1436939478,6032534873,0,149881076,primary,West César E. Chávez Boulevard,True,False,137.13427067065493,"LINESTRING (-98.4988463 29.4209673, -98.4982038 29.4207013, -98.4975723 29.4204293)",2,,,,,,,,
1436939535,150120172,0,15186515,unclassified,Mission Road,False,True,105.41384047221797,"LINESTRING (-98.486351 29.401745, -98.486432 29.401764, -98.486531 29.401778, -98.486697 29.401779, -98.486848 29.401772, -98.486999 29.401759, -98.487245 29.401704, -98.4874178 29.4016569)",,,,,,,,,
1436939535,8187135679,0,125540156,residential,Mission Road,False,False,36.64335083226183,"LINESTRING (-98.486351 29.401745, -98.486121 29.401693, -98.4859866 29.4016569)",,,,,,,,,
