u,v,key,osmid,highway,lanes,oneway,reversed,length,geometry,ref,name,bridge,maxspeed,service,access,tunnel,width
149481497,149538854,0,"[15133108, 15151566]",residential,,False,"[False, True]",263.9766506898586,"LINESTRING (-98.474741 29.435243, -98.475708 29.435247, -98.475831 29.43523, -98.475909 29.435197, -98.476027 29.435101, -98.476131 29.435004, -98.476196 29.434908, -98.476223 29.434818, -98.476219 29.43423, -98.476217 29.433948)",,"['North Cherry Street', 'Milam Street']",,,,,,
149481498,149481497,0,15127877,residential,,False,True,19.8552272763294,"LINESTRING (-98.474536 29.435246, -98.474741 29.435243)",,,,,,,,
149482240,149532242,0,15132698,residential,,False,True,70.37456738622518,"LINESTRING (-98.4444165 29.4074417, -98.445143 29.40744)",,G Street,,,,,,
149486229,9334853050,0,15137696,secondary,,True,False,22.41668240778688,"LINESTRING (-98.480665 29.406882, -98.4807157 29.4066853)",,Interstate 37 South,,,,,,
149486229,9334853030,0,244782197,tertiary,1,True,False,22.121432488681112,"LINESTRING (-98.480665 29.406882, -98.4808727 29.4069647)",,Florida Street,,,,,,
149486233,9334853032,0,"[15128353, 1036241669]",motorway_link,2,True,False,244.40075621348996,"LINESTRING (-98.479814 29.409157, -98.480128 29.408353, -98.480356 29.407859, -98.48052 29.407477, -98.4805639 29.407297, -98.4806174 29.4070775)",,,,,,,,
149486233,149494609,0,"[97897537, 97897547, 1031099761, 97901746, 97901747]",motorway,4,True,False,707.11393012474,"LINESTRING (-98.479814 29.409157, -98.479884 29.408593, -98.479917 29.408381, -98.480211 29.4070942, -98.4803515 29.4065573, -98.4804798 29.4060481, -98.4806135 29.4054939, -98.480957 29.404024, -98.480961 29.403993, -98.4810869 29.4029021)",I 37;US 281,William J Bordelon Freeway,yes,65 mph,,,,
149487675,2517024837,0,244376446,residential,2,True,False,35.79834996163472,"LINESTRING (-98.4449885 29.4035187, -98.4453201 29.4036608)",,Roland Avenue,,,,,,
149489898,149594862,0,249739055,tertiary,,False,False,13.496103266401196,"LINESTRING (-98.439328 29.417896, -98.439287 29.41778)",,Spriggsdale,,,,,,
149489898,2563045042,0,249739055,tertiary,,False,True,33.3000731253985,"LINESTRING (-98.439328 29.417896, -98.4394281 29.4181825)",,Spriggsdale,,,,,,
